Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
ESU6.CME@RITHMIC,7423.5,7400 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7738.5,7715 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7753.5,7730 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7763.5,7740 CW,#000000,#00C853,Right,1,true
ESU6.CME@RITHMIC,7773.5,7750 LG+VT-C,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7546.0,750 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7727.0,768 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7757.25,771 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7767.5,772 CW+LG,#000000,#00C853,Right,1,true
ESU6.CME@RITHMIC,7777.5,773 VT-C,#000000,#00B8D4,Right,1,true
