Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
ESU6.CME@RITHMIC,7245.0,7215 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7330.0,7300 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7455.0,7425 LG,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7460.0,7430 VT-C,#000000,#00B8D4,Right,1,true
ESU6.CME@RITHMIC,7470.0,7440 CW,#000000,#00C853,Right,1,true
ESU6.CME@RITHMIC,7630.0,7600 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7312.75,726 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7353.0,730 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7383.25,733 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7453.75,740 CW+LG,#000000,#00C853,Right,1,true
