Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
ESZ6.CME@RITHMIC,7663.0,7595 ZG,#000000,#FFD600,Right,1,true
ESZ6.CME@RITHMIC,7693.0,7625 PW,#000000,#FF1744,Right,1,true
ESZ6.CME@RITHMIC,7768.0,7700 CB,#000000,#AA00FF,Right,1,true
ESZ6.CME@RITHMIC,7808.0,7740 VT-C,#000000,#00B8D4,Right,1,true
ESZ6.CME@RITHMIC,7843.0,7775 LG,#000000,#FF9100,Right,1,true
ESZ6.CME@RITHMIC,7853.0,7785 CW,#000000,#00C853,Right,1,true
ESZ6.CME@RITHMIC,7645.75,755 PW,#000000,#FF1744,Right,1,true
ESZ6.CME@RITHMIC,7696.5,760 ZG,#000000,#FFD600,Right,1,true
ESZ6.CME@RITHMIC,7797.75,770 CW+LG+CB,#000000,#00C853,Right,1,true
ESZ6.CME@RITHMIC,7828.0,773 VT-C,#000000,#00B8D4,Right,1,true
