Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
ESU6.CME@RITHMIC,7390.0,7375 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7665.0,7650 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7680.0,7665 LG,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7705.0,7690 CW,#000000,#00C853,Right,1,true
ESU6.CME@RITHMIC,7715.0,7700 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7622.75,759 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7652.75,762 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7673.0,764 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7683.0,765 LG,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7693.0,766 CW,#000000,#00C853,Right,1,true
