Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
ESU6.CME@RITHMIC,7530.5,7525 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7705.5,7700 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7755.5,7750 LG+VT-C,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7760.5,7755 CW,#000000,#00C853,Right,1,true
ESU6.CME@RITHMIC,7905.5,7900 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7571.25,755 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7671.5,765 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7721.5,770 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7741.75,772 LG,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7771.75,775 CW,#000000,#00C853,Right,1,true
