Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQU6.CME@RITHMIC,29562.0,29450 PW+LG,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29602.0,29490 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29712.0,29600 VT-C,#000000,#00B8D4,Right,1,true
NQU6.CME@RITHMIC,29762.0,29650 CW,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,30062.0,29950 CB,#000000,#AA00FF,Right,1,true
NQU6.CME@RITHMIC,29508.5,715 LG,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,29632.5,718 PW+ZG,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29715.0,720 VT-C,#000000,#00B8D4,Right,1,true
NQU6.CME@RITHMIC,29921.25,725 CW,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,30127.5,730 CB,#000000,#AA00FF,Right,1,true
