Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQU6.CME@RITHMIC,29496.5,29470 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29506.5,29480 LG,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,29576.5,29550 CW,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,29676.5,29650 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29896.5,29870 CB,#000000,#AA00FF,Right,1,true
NQU6.CME@RITHMIC,29358.5,714 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29481.75,717 LG,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,29523.0,718 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29605.0,720 CB,#000000,#AA00FF,Right,1,true
NQU6.CME@RITHMIC,29646.25,721 CW,#000000,#00C853,Right,1,true
