Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQU6.CME@RITHMIC,29659.75,29550 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29709.75,29600 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29809.75,29700 LG,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,30039.75,29930 CW,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,30109.75,30000 CB+VT-C,#000000,#AA00FF,Right,1,true
NQU6.CME@RITHMIC,29664.0,719 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29705.25,720 ZG+LG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29829.0,723 CW,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,29911.5,725 VT-C,#000000,#00B8D4,Right,1,true
NQU6.CME@RITHMIC,30117.75,730 CB,#000000,#AA00FF,Right,1,true
