Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQU6.CME@RITHMIC,29355.5,29300 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29480.5,29425 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29555.5,29500 CW+LG,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,29705.5,29650 VT-C,#000000,#00B8D4,Right,1,true
NQU6.CME@RITHMIC,30055.5,30000 CB,#000000,#AA00FF,Right,1,true
NQU6.CME@RITHMIC,29434.0,715 CW+LG,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,29537.0,718 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29557.5,718 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29640.0,720 VT-C,#000000,#00B8D4,Right,1,true
NQU6.CME@RITHMIC,30051.5,730 CB,#000000,#AA00FF,Right,1,true
