Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQZ6.CME@RITHMIC,29736.0,29450 CW+LG,#000000,#00C853,Right,1,true
NQZ6.CME@RITHMIC,29761.0,29475 PW,#000000,#FF1744,Right,1,true
NQZ6.CME@RITHMIC,29786.0,29500 VT-C,#000000,#00B8D4,Right,1,true
NQZ6.CME@RITHMIC,29836.0,29550 CB,#000000,#AA00FF,Right,1,true
NQZ6.CME@RITHMIC,30186.0,29900 ZG,#000000,#FFD600,Right,1,true
NQZ6.CME@RITHMIC,29033.75,700 CB,#000000,#AA00FF,Right,1,true
NQZ6.CME@RITHMIC,29448.5,710 ZG,#000000,#FFD600,Right,1,true
NQZ6.CME@RITHMIC,29656.0,715 LG,#000000,#FF9100,Right,1,true
NQZ6.CME@RITHMIC,29697.5,716 PW,#000000,#FF1744,Right,1,true
NQZ6.CME@RITHMIC,29863.25,720 CW,#000000,#00C853,Right,1,true
