Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQU6.CME@RITHMIC,28695.25,28650 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,28795.25,28750 VT-P,#000000,#D500F9,Right,1,true
NQU6.CME@RITHMIC,28895.25,28850 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29045.25,29000 LG,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,29415.25,29370 CW+CB,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,28766.0,699 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,28807.25,700 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29095.5,707 LG+VT-C,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,29218.75,710 CB,#000000,#AA00FF,Right,1,true
NQU6.CME@RITHMIC,29301.0,712 CW,#000000,#00C853,Right,1,true
